 n              xn1                  |f(xn1)|
 0  3.000000000000000000e+000  9.8612288668e-002
 1  3.059167373200865700e+000  3.6927457761e-003
 2  3.057106054691599800e+000  4.4761505977e-006
 3  3.057103549998436300e+000  6.6098237994e-012
 n              xn1                  |f(xn1)|
 0  4.000000000000000000e+000  2.6137056389e+000
 1  2.419218645889002600e+000  7.0770034137e-001
 2  2.756039712206012700e+000  4.4219871598e-001
 3  3.317022504001124500e+000  5.3548073166e-001
 4  3.009768959371031700e+000  8.2229966821e-002
 5  3.050670709725762400e+000  1.1452530996e-002
 6  3.057289041659919900e+000  3.3152841948e-004
 7  3.057102843928874800e+000  1.2618098428e-006
 8  3.057103549917539600e+000  1.3796119802e-010
 n              xn1                  |f(xn1)|
 0  7.500000000000000000e-001  3.3578574439e-001
 1  6.883073383007674000e-001  2.8191174476e-002
 2  6.820481783243208500e-001  3.2235505865e-004
 3  6.819749284921868800e-001  4.4530694909e-008
 n              xn1                  |f(xn1)|
 0  1.000000000000000000e+000  1.9999986928e+000
 1  6.000000522871937700e-001  3.0211312115e-001
 2  6.524932595800156900e-001  1.2235355017e-001
 3  6.882228189972141600e-001  2.7810559166e-002
 4  6.816056650677272400e-001  1.6234147759e-003
 5  6.819706305828964200e-001  1.8864164971e-005
 6  6.819749213604138200e-001  1.3154133116e-008
 n              xn1                  |f(xn1)|
 0  1.250000000000000000e+000  9.2019375000e-001
 1  1.042046610169490700e+000  5.0881459315e-001
 2  1.095070234545689700e+000  3.9693365667e-002
 3  1.099959957849026400e+000  3.1979795900e-004
 4  1.099999997327960400e+000  2.1338898648e-008
 n              xn1                  |f(xn1)|
 0  2.160000000000000100e+000  1.0827264000e-001
 1  2.199400753425041700e+000  1.5956284157e-003
 2  2.199999837218695700e+000  4.3332385502e-007
 n              xn1                  |f(xn1)|
 0  3.419999999999999900e+000  3.3285504000e-001
 1  3.303227113772987600e+000  8.6031040762e-003
 2  3.300004664519568200e+000  1.2416977363e-005
 3  3.300000000009910100e+000  2.6311397505e-011
 n              xn1                  |f(xn1)|
 0  4.219999999999999800e+000  1.0436774400e+000
 1  4.493744853894647800e+000  8.7113055027e-001
 2  4.412015995526431300e+000  9.7892964605e-002
 3  4.400234056965278900e+000  1.8699081665e-003
 4  4.400000091254436400e+000  7.2875798907e-007
 n              xn1                  |f(xn1)|
 0  1.000000000000000100e-001  6.8062500000e-003
 1  2.153601694915253900e-001  6.9493128510e-003
 2  1.677314240224797600e-001  9.5102903844e-005
 3  1.670267493200335900e-001  1.6221694130e-007
 n              xn1                  |f(xn1)|
 0  1.000000000000000000e+000  3.1289062500e+000
 1  7.784845132743363200e-001  9.6430757272e-001
 2  6.208326979997973400e-001  2.9031222496e-001
 3  5.137841355806773700e-001  8.2884511050e-002
 4  4.483890919503914500e-001  2.0590986526e-002
 5  4.176846789906948900e-001  3.4021955788e-003
 6  4.102162263207925200e-001  1.7499519126e-004
 7  4.097884166326369900e-001  5.5562456292e-007
 n              xn1                  |f(xn1)|
 0  -1.400000000000000100e-001  3.1657110000e-002
 1  -5.233048829120234800e-002  5.3435439502e-003
 2  -2.882875517636722000e-002  5.2567863234e-004
 3  -2.594475539886115900e-002  8.1623397851e-006
 4  -2.589853867317810600e-002  2.1015195703e-009
 n              xn1                  |f(xn1)|
 0  -1.000000000000000000e+000  2.8789062500e+000
 1  -7.925112612612612600e-001  8.5467653959e-001
 2  -6.558520122875359800e-001  2.3187097230e-001
 3  -5.804969681829079700e-001  4.8580665341e-002
 4  -5.541492700509798000e-001  4.7521558094e-003
 5  -5.509586285887582100e-001  6.4559782289e-005
 6  -5.509140746824040500e-001  1.2475918076e-008
 n              xn1                  |f(xn1)|
 0  1.000000000000000100e-001  3.1280625000e-001
 1  7.687456104683400300e-002  9.8753920498e-002
 2  5.961097352531256900e-002  3.1087646085e-002
 3  4.679919721876132900e-002  9.7275979417e-003
 4  3.740671595294681900e-002  3.0080999964e-003
 5  3.068083162571096400e-002  9.1066288022e-004
 6  2.605822451350366500e-002  2.6631388681e-004
 7  2.308062302302482700e-002  7.3817136369e-005
 8  2.134236147451966000e-002  1.8601068750e-005
 9  2.049038149852666300e-002  3.6898982403e-006
10  2.021376855730786700e-002  3.5413615276e-007
 n              xn1                  |f(xn1)|
 0  1.000000000000000000e+000  4.1054450062e+003
 1  7.517858219256617900e-001  1.2989912738e+003
 2  5.656244323181165400e-001  4.1100988036e+002
 3  4.260028522558363400e-001  1.3004612586e+002
 4  3.212867727999727500e-001  4.1147065757e+001
 5  2.427512852677305200e-001  1.3018735294e+001
 6  1.838542355726001900e-001  4.1187654481e+000
 7  1.396917493859592700e-001  1.3028194717e+000
 8  1.065906854245844300e-001  4.1191135188e-001
 9  8.180417023853170400e-002  1.3009520562e-001
10  6.328477732708119600e-002  4.0990604994e-002
11  4.951574023961301300e-002  1.2850038794e-002
12  3.938378077522718800e-002  3.9877201510e-003
13  3.207766032233146100e-002  1.2146662452e-003
14  2.699692930012551400e-002  3.5867958895e-004
15  2.366481637702746300e-002  1.0093590451e-004
16  2.166486566731040000e-002  2.6199950023e-005
17  2.062997729803766500e-002  5.6440613964e-006
18  2.024504007257369900e-002  6.9615951505e-007
 n              xn1                  |f(xn1)|
 0  -1.400000000000000100e-001  1.9903822500e+000
